[0]: begin <Unit,Short,Void,Boolean> #299
[258]: device_set_position_immediate <Device> #1
[259]: device_group_get <DeviceGroup> #1
[260]: device_group_set <Device> #1
[261]: device_group_set_immediate <DeviceGroup> #1
[262]: device_one_sided_set <Device> #1
[263]: device_operates_automatically_set <Device> #1
[264]: device_closes_automatically_set <Device> #1
[265]: device_group_change_only_once_more_set <DeviceGroup> #1
[266]: device_set_position_track <Device> #1
[267]: device_set_overlay_track <Device> #1
[268]: device_animate_position <Device> #1
[269]: device_animate_overlay <Device> #1
[275]: cheat_active_camouflage_by_player <Short> #1
[277]: drop <String> #1
[281]: ai_dialogue_enable <Boolean> #1
[284]: ai_get_object <AI> #1
[285]: ai_get_unit <AI> #1
[287]: ai_attach_units <List,AI> #2
[290,291]: ai_place <AI> #1
[292]: ai_place_in_vehicle <AI> #1
[293]: ai_cannot_die <AI> #1
[294]: ai_vitality_pinned <AI> #1
[295]: ai_overcomes_oversteer <AI> #1
[296]: ai_kill <AI> #1
[297]: ai_kill_silent <AI> #1
[298]: ai_erase <AI> #1
[299]: ai_erase_all <> #0
[300]: ai_disposable <AI> #1
[303]: ai_set_deaf <AI> #1
[304]: ai_set_blind <AI> #1
[305]: ai_magically_see <AI> #1
[306]: ai_magically_see_object <AI> #1
[307]: ai_set_active_camo <AI> #1
[308]: ai_suppress_combat <AI> #1
[309]: ai_migrate <AI> #2
[310]: ai_allegiance <Team> #1
[312]: ai_braindead <AI> #1
[314]: ai_disregard <List,Boolean> #2
[315]: ai_prefer_target <List,Boolean> #2
[316]: ai_teleport_to_starting_location_if_outside_bsp <AI> #1
[317]: ai_renew <AI> #1
[322]: ai_berserk <AI> #1
[326]: ai_fighting_count <AI> #1
[327]: ai_living_count <AI> #1
[329]: ai_strength <AI> #1
[330]: ai_swarm_count <AI> #1
[331]: ai_nonswarm_count <AI> #1
[332]: ai_actors <AI> #1
[334]: ai_set_orders <AI> #1
[335]: ai_spawn_count <AI> #1
[336]: object_get_ai <Entity> #1
[337]: ai_trigger_test <String> #1
[340]: ai_vehicle_get <AI> #1
[341]: ai_vehicle_get_from_starting_location <AI> #1
[342]: ai_vehicle_reserve_seat <Vehicle,StringId> #2
[343]: ai_vehicle_reserve <Vehicle,Boolean> #2
[345,344]: ai_vehicle_enter <AI> #1
[346]: ai_vehicle_enter_immediate <AI> #1
[348]: ai_enter_squad_vehicles <AI> #1
[350]: ai_vehicle_exit <AI> #1
[353]: ai_combat_status <AI> #1
[354]: flock_start <StringId> #1
[355]: flock_stop <StringId> #1
[360]: ai_play_line <AI> #1
[361]: ai_play_line_at_player <AI,StringId> #2
[362]: ai_play_line_on_object <Entity> #1
[363,364]: ai_scene <StringId> #1
[366]: cs_run_command_script <AI,AIScript> #2
[367]: cs_queue_command_script <AI> #1
[368]: cs_stack_command_script <AI> #1
[371]: cs_command_script_running <AI> #1
[372]: cs_command_script_queued <AI> #1
[374]: cs_switch <StringId> #1
[380,379]: cs_fly_to <SpatialPoint> #1
[381,382]: cs_fly_to_and_face <SpatialPoint> #1
[383,384]: cs_fly_by <SpatialPoint> #1
[385,386]: cs_go_to <SpatialPoint> #1
[387]: cs_go_by <SpatialPoint> #1
[389]: cs_go_to_and_face <SpatialPoint> #1
[390]: cs_start_to <SpatialPoint> #1
[391]: cs_go_to_nearest <SpatialPoint> #1
[392]: cs_moving <> #0
[393]: cs_look <Boolean> #1
[394]: cs_look_player <Boolean> #1
[395]: cs_look_object <Boolean> #1
[396]: cs_aim <Boolean> #1
[397]: cs_aim_player <Boolean> #1
[398]: cs_aim_object <Boolean> #1
[399]: cs_face <Boolean> #1
[400]: cs_face_player <Boolean> #1
[401]: cs_face_object <Boolean> #1
[402]: cs_move_in_direction <Float> #1
[403]: cs_pause <Float> #1
[405,404]: cs_shoot <Boolean> #1
[406]: cs_shoot_point <Boolean> #1
[407]: cs_vehicle_speed <Float> #1
[408]: cs_grenade <SpatialPoint> #1
[409]: cs_jump <Float> #1
[410]: cs_jump_to_point <Float> #1
[416]: cs_custom_animation <Animation> #1
[417]: cs_stop_custom_animation <> #0
[418]: cs_play_line <StringId> #1
[420]: cs_teleport <SpatialPoint> #1
[422]: cs_movement_mode <Short> #1
[423]: cs_crouch <Boolean> #1
[426]: cs_go_to_vehicle <Vehicle> #1
[427]: cs_set_behavior <AIBehavior> #1
[429]: cs_deploy_turret <SpatialPoint> #1
[430]: cs_approach <Entity,Float> #2
[431]: cs_start_approach <Entity> #1
[432]: cs_approach_player <Float> #1
[433]: cs_start_approach_player <Float> #1
[434]: cs_approach_stop <> #0
[435]: cs_ignore_obstacles <Boolean> #1
[436]: cs_turn_sharpness <Boolean> #1
[438]: cs_vehicle_boost <Boolean> #1
[439]: cs_abort_on_alert <Boolean> #1
[440]: cs_abort_on_damage <Boolean> #1
[441]: cs_abort_on_combat_status <Short> #1
[442]: cs_enable_targeting <Boolean> #1
[443]: cs_enable_looking <Boolean> #1
[444]: cs_enable_moving <Boolean> #1
[445]: cs_enable_dialogue <Boolean> #1
[446]: cs_suppress_dialogue_global <Boolean> #1
[448]: cs_force_combat_status <Short> #1
[449]: cs_enable_pathfinding_failsafe <Boolean> #1
[450]: camera_control <Boolean> #1
[451]: camera_set <CameraPathTarget> #1
[454]: camera_set_animation_relative <Animation> #1
[455]: camera_predict_resources_at_frame <Animation> #1
[456]: camera_predict_resources_at_point <CameraPathTarget> #1
[458]: camera_time <> #0
[459]: camera_set_field_of_view <Float> #1
[467]: game_difficulty_get <> #0
[468]: game_difficulty_get_real <> #0
[469]: pvs_set_object <Entity> #1
[471]: pvs_clear <> #0
[473]: player_enable_input <Boolean> #1
[474]: player_disable_movement <Boolean> #1
[475]: player_flashlight_on <> #0
[477]: player_camera_control <Boolean> #1
[478]: player_action_test_reset <> #0
[480]: player_action_test_primary_trigger <> #0
[481]: player_action_test_grenade_trigger <> #0
[482]: player_action_test_vision_trigger <> #0
[486]: player_action_test_melee <> #0
[488]: player_action_test_accept <> #0
[489]: player_action_test_cancel <> #0
[498]: player0_looking_up <> #0
[499]: player0_looking_down <> #0
[500]: player_action_test_look_up_begin <> #0
[501]: player_action_test_look_down_begin <> #0
[502]: player_action_test_look_pitch_end <> #0
[503]: player_action_test_lookstick_forward <> #0
[504]: player_action_test_lookstick_backward <> #0
[506]: map_reset <> #0
[507]: switch_bsp <Short> #1
[508]: switch_bsp_by_name <Bsp> #1
[509]: structure_bsp_index <> #0
[530]: texture_cache_flush <> #0
[531]: geometry_cache_flush <> #0
[551]: fade_in <Float> #1
[552]: fade_out <Float> #1
[553]: cinematic_start <> #0
[554]: cinematic_stop <> #0
[555]: cinematic_skip_start_internal <> #0
[556]: cinematic_skip_stop_internal <> #0
[557]: cinematic_show_letterbox <Boolean> #1
[558]: cinematic_show_letterbox_immediate <Boolean> #1
[559]: cinematic_set_title <CinematicTitle> #1
[562]: cinematic_subtitle <StringId> #1
[565]: game_won <> #0
[567]: game_revert <> #0
[568]: game_is_cooperative <> #0
[569]: game_is_playtest <> #0
[570]: game_can_use_flashlights <Boolean> #1
[584]: game_safe_to_save <> #0
[587]: game_save <> #0
[588]: game_save_cancel <> #0
[589]: game_save_no_timeout <> #0
[590]: game_save_immediate <> #0
[591]: game_saving <> #0
[592]: game_reverted <> #0
[594]: sound_impulse_predict <Sound> #1
[595]: sound_impulse_trigger <Sound> #1
[596]: sound_impulse_start <Sound> #1
[598]: sound_impulse_start_effect <Sound> #1
[601]: sound_impulse_language_time <Sound> #1
[602]: sound_impulse_stop <Sound> #1
[605]: sound_looping_start <LoopingSound> #1
[606]: sound_looping_stop <LoopingSound> #1
[609]: sound_looping_set_alternate <LoopingSound> #1
[614]: sound_class_set_gain <String> #1
[624]: biped_ragdoll <Unit> #1
[625]: hud_cinematic_fade <Float> #1
[631]: hud_show_training_text <Boolean> #1
[632]: hud_set_training_text <StringId> #1
[633]: hud_enable_training <Boolean> #1
[634]: player_training_activate_flashlight <> #0
[636]: player_training_activate_stealth <> #0
[639]: activate_team_nav_point_flag <NavigationPoint> #1
[640]: activate_team_nav_point_object <NavigationPoint> #1
[643]: deactivate_team_nav_point_flag <Team> #1
[644]: deactivate_team_nav_point_object <Team> #1
[653]: player_effect_set_max_rotation <Float> #3
[654]: player_effect_set_max_vibration <Float> #1
[655]: player_effect_start <Float> #2
[656]: player_effect_stop <Float> #1
[674]: time_code_show <Boolean> #1
[675]: time_code_start <Boolean> #1
[676]: time_code_reset <> #0
[708]: cinematic_screen_effect_start <Boolean> #1
[709]: cinematic_screen_effect_set_depth_of_field <Float> #1
[710]: cinematic_screen_effect_set_crossfade <Float> #1
[712]: cinematic_screen_effect_stop <> #0
[713]: cinematic_set_near_clip_distance <Float> #1
[714]: cinematic_set_far_clip_distance <Float> #1
[729]: controller_set_look_invert <Boolean> #1
[730]: controller_get_look_invert <> #0
[752]: objectives_clear <> #0
[753]: objectives_show_up_to <Int> #1
[754]: objectives_finish_up_to <Int> #1
[781]: play_credits <> #0
[782]: bink_done <> #0
[786]: data_mine_set_mission_segment <String> #1
[844]: interpolator_start <StringId> #1
[865]: weather_start <Float> #1
[866]: weather_stop <Float> #1
[867]: weather_change_intensity <Float> #2
[869]: cinematic_clone_players_weapon <Entity> #1
[872]: ice_cream_flavor_stock <Int> #1
[873]: ice_cream_flavor_available <Int> #1
[874]: set_global_sound_environment <Float> #1
[876]: game_save_cinematic_skip <> #0
[877]: cinematic_outro_start <> #0
[878]: cinematic_enable_ambience_details <Boolean> #1
[880]: predict_model_section <Model> #1
[881]: predict_structure_section <Bsp> #1
[885]: rasterizer_bloom_override <Boolean> #1
[888]: rasterizer_bloom_override_threshold <Float> #1
[889]: rasterizer_bloom_override_brightness <Float> #1
[897]: cache_block_for_one_frame <> #0
[898]: sound_suppress_ambience_update_on_revert <> #0
[902]: cinematic_lightmap_shadow_disable <> #0
[903]: cinematic_lightmap_shadow_enable <> #0
[922]: loading_screen_fade_to_white <> #0
[925]: enable_render_light_suppressor <> #0
[926]: disable_render_light_suppressor <> #0
